Lot Number,总剂量,不良反应总数,平均不良反应率(每10万剂),分发机构数
EN6200,52650.0,52.24,275.62,8
FL0007,47700.0,6.71,4.46,93
33130BA,45630.0,12.52,82.73,15
FK5127,44400.0,12.88,6.66,65
EN6205,43290.0,35.52,268.4,5
EN6208,43290.0,34.43,343.5,4
EW0151,43290.0,38.59,332.2,5
ER8727,40950.0,31.58,462.67,3
FA7485,40500.0,17.06,48.25,28
EW0162,39780.0,24.41,433.0,3
EW0173,38610.0,24.04,205.0,6
EW0175,37440.0,20.51,283.6,5
EN6206,33930.0,24.57,573.5,2
ER8733,33930.0,27.1,508.5,2
FD8448,32850.0,12.94,56.24,21
EP7533,31590.0,21.67,358.67,3
EW0187,29250.0,14.53,63.53,15
FG3527,28080.0,9.9,53.56,16
FC3182,27900.0,9.91,57.27,15
30145BA,26910.0,10.13,87.18,11
FL8095,26300.0,6.33,5.6,87
FF2588,25740.0,9.46,213.25,4
FF2590,24570.0,10.95,50.6,15
EW0217,24570.0,15.2,95.67,9
EP6955,24570.0,18.4,89.25,8
FL8094,24400.0,5.79,6.16,74
ER8735,23400.0,15.61,116.43,7
FC3180,23400.0,10.04,33.57,23
FC3184,22950.0,12.12,23.8,30
FF2589,22230.0,9.88,80.89,9
EW0169,22230.0,14.65,419.0,2
FA6780,21600.0,10.63,37.63,19
FK5618,21500.0,5.65,5.2,45
EL1283,21450.0,41.8,264.14,7
EW0196,21060.0,10.59,65.45,11
FL3209,21060.0,4.17,83.44,9
FM0698,21000.0,7.58,11.83,46
FK9896,20100.0,4.48,12.89,38
FF2593,19890.0,7.31,45.77,13
EW0198,19890.0,10.24,83.7,10
EW0181,19890.0,9.72,51.08,13
33030BD,19890.0,2.41,41.5,14
EN5318,19500.0,19.95,92.25,8
EL9267,19500.0,21.32,1965.0,1
30155BA,18720.0,6.09,45.46,13
FJ4989,18000.0,4.3,52.0,16
FA7484,18000.0,8.87,43.74,19
FJ1614,17550.0,2.56,44.93,14
FE3592,17550.0,7.09,142.25,4
ER8737,17550.0,11.55,95.0,6
FK9893,16500.0,4.4,9.39,46
30130BA,16380.0,2.4,49.17,12
EW0176,16380.0,8.12,39.0,14
FH8030,16380.0,4.9,45.5,12
FK9895,15900.0,4.71,8.2,46
FE3594,15210.0,5.46,35.75,12
EL9262,14625.0,20.58,374.0,3
EM9810,14625.0,16.07,288.0,5
FJ1620,14040.0,3.96,36.0,12
FC3181,13950.0,5.81,22.1,20
EL3302,13650.0,17.54,210.0,6
FM9992,12900.0,4.23,12.49,35
32030BD,12870.0,2.86,96.25,4
ER8736,12870.0,6.85,58.57,7
EW0168,12870.0,5.63,54.75,8
FH8020,12870.0,7.83,50.11,9
EW0185,12870.0,6.03,184.5,2
FH8028,12870.0,4.76,87.4,5
FH8027,12870.0,4.09,53.62,8
EW0180,12870.0,6.13,52.25,8
EH9899,12675.0,51.8,1564.0,1
EN6201,12675.0,13.52,80.33,6
EW0182,11700.0,5.72,58.29,7
ER8732,11700.0,9.4,184.0,2
FC3183,11700.0,5.72,20.28,18
FJ1611,11700.0,3.0,46.78,9
EN6198,11115.0,10.04,107.25,4
ER8731,10530.0,5.69,83.75,4
FJ8762,10530.0,3.16,43.88,8
FF8841,10530.0,6.29,44.88,8
FJ5682,10200.0,2.12,48.55,11
FJ6369,9900.0,3.3,8.97,29
EL8982,9750.0,14.22,255.33,3
FJ9943,9600.0,2.19,45.75,12
EW0177,9360.0,4.48,58.8,5
33036BD,9360.0,1.28,46.0,8
FJ8757,9360.0,2.55,39.86,7
EW0171,9360.0,4.64,52.8,5
FE3590,9360.0,4.0,40.14,7
EY0584,9360.0,7.52,283.0,8
FF2587,9360.0,4.48,40.0,8
FJ5683,8700.0,1.66,157.67,3
30135BA,8190.0,1.96,44.0,7
EW0178,8190.0,3.85,41.0,7
EW0179,8190.0,3.94,213.0,1
FD7218,8190.0,2.27,75.25,4
FL3198,8190.0,1.96,38.0,7
FF8839,8190.0,3.7,49.0,6
ER8729,8190.0,5.96,127.0,2
FD0809,8100.0,3.48,26.67,9
FK9894,7800.0,2.59,9.79,19
EN9581,7800.0,10.55,1434.0,1
EN6199,7020.0,5.3,86.67,3
33025BD,7020.0,1.2,63.4,5
FL3197,7020.0,1.92,48.0,5
EK9231,6825.0,22.4,627.0,1
FK9729,6000.0,2.0,9.29,17
EW0191,5850.0,2.66,44.75,4
FJ4991,5400.0,2.52,24.29,17
FP4554,5100.0,2.23,21.53,15
EJ1686,4875.0,12.69,393.0,2
EW0170,4680.0,2.45,79.5,2
EK5730,3900.0,16.28,111.0,4
33026BD,3510.0,0.42,121.0,3
EN6207,3510.0,2.7,35.0,3
EN6204,3510.0,2.82,43.0,3
EW0161,3510.0,2.01,38.0,3
EP7534,3510.0,2.52,60.0,2
EW0153,3510.0,2.37,42.0,3
ER8734,3510.0,2.39,58.5,2
EN6203,3120.0,3.04,47.0,3
EL0140,2925.0,6.09,403.0,1
EW0172,2340.0,1.62,37.0,2
EW0183,2340.0,1.1,79.0,1
ER8730,2340.0,1.63,81.0,1
EL1284,1950.0,4.38,97.0,2
EK4176,1950.0,8.23,604.0,1
EL9265,1950.0,2.32,101.0,2
EL3247,1950.0,4.9,90.0,2
EL3249,1950.0,3.4,87.0,2
EJ1685,1950.0,6.04,126.0,2
EW0202,1170.0,0.6,180.0,1
EW0167,1170.0,0.66,38.0,1
EW0186,1170.0,0.56,39.0,1
EL9264,975.0,1.09,77.0,1
EL9261,975.0,1.39,81.0,1
FL4211,400.0,0.16,633.0,4
FM7553,300.0,0.47,53.0,1
