Provider,ZIP Code,Lot Number,Doses Shipped,Statistical Number of Adverse Reaction Reports,"Statistical Number of Adverse Reaction Reports (per 100,000)"
A NEW DAY COMMUNITY HEALTH CENTER,89130,EW0183,2340.0,1.1,79
ALLEGIANT HOME HEALTH,89148,FK9896,300.0,0.07,7
ALLEGIANT HOME HEALTH,89148,FL0007,100.0,0.01,1
AP MEDICALGROUP,89119,EW0187,1170.0,0.58,38
CENTENNIAL HILLS HOSPITAL,89149,EL1283,975.0,1.9,84
CENTENNIAL PEDS,89149,FA6780,450.0,0.22,15
CENTENNIAL PEDS,89149,FK5127,600.0,0.17,6
CENTENNIAL PEDS,89149,FK9895,300.0,0.09,7
CENTENNIAL PEDS,89149,FL8094,800.0,0.19,15
CLINICA MEDICA DEL PUEBLO #2,89110,FL8095,100.0,0.02,2
CONSONUS PHARMACY SERVICES LLC,89149,EK5730,975.0,4.07,111
CONSONUS PHARMACY SERVICES LLC,89149,EL3302,975.0,1.25,90
COSTCO PHARMACY # 685,89144,FC3184,450.0,0.24,14
COSTCO PHARMACY # 685,89144,FF2593,1170.0,0.43,35
COSTCO PHARMACY # 685,89144,FK9729,300.0,0.1,8
COSTCO PHARMACY # 685,89144,FK9895,300.0,0.09,7
COSTCO PHARMACY # 685,89144,FM9992,300.0,0.1,10
COSTCO PHARMACY # 685,89144,FP4554,300.0,0.13,19
COSTCO PHARMACY # 737,89131,30155BA,1170.0,0.38,37
COSTCO PHARMACY # 737,89131,33030BD,1170.0,0.14,34
COSTCO PHARMACY # 737,89131,FA6780,450.0,0.22,15
COSTCO PHARMACY # 737,89131,FA7484,450.0,0.22,21
COSTCO PHARMACY # 737,89131,FA7485,900.0,0.38,30
COSTCO PHARMACY # 737,89131,FC3183,450.0,0.22,14
COSTCO PHARMACY # 737,89131,FJ1620,1170.0,0.33,36
COSTCO PHARMACY # 737,89131,FK9895,300.0,0.09,7
COSTCO PHARMACY # 737,89131,FL3209,1170.0,0.23,42
COSTCO PHARMACY # 737,89131,FM0698,300.0,0.11,8
COSTCO PHARMACY # 737,89131,FM9992,300.0,0.1,10
CVS STORE #01507,89122,33036BD,1170.0,0.16,46
CVS STORE #01507,89122,ER8737,1170.0,0.77,38
CVS STORE #01507,89122,EW0167,1170.0,0.66,38
CVS STORE #01507,89122,EW0170,1170.0,0.61,40
CVS STORE #01507,89122,FH8030,1170.0,0.35,39
CVS STORE #01507,89122,FK5127,600.0,0.17,6
CVS STORE #01507,89122,FK9894,300.0,0.1,7
CVS STORE #01507,89122,FL8094,700.0,0.17,13
CVS STORE #01507,89122,FL8095,200.0,0.05,4
CVS STORE #01507,89122,FM9992,300.0,0.1,10
CVS STORE #01507,89122,FP4554,300.0,0.13,19
CVS STORE #02928,89119,FK5127,600.0,0.17,6
CVS STORE #02928,89119,FK9893,300.0,0.08,8
CVS STORE #02928,89119,FK9894,300.0,0.1,7
CVS STORE #02928,89119,FL0007,400.0,0.06,3
CVS STORE #02928,89119,FL8094,400.0,0.1,7
CVS STORE #02928,89119,FL8095,200.0,0.05,4
CVS STORE #02929,89129,FK5127,300.0,0.09,3
CVS STORE #02929,89129,FK5618,300.0,0.08,3
CVS STORE #02929,89129,FK9729,300.0,0.1,8
CVS STORE #02929,89129,FK9895,300.0,0.09,7
CVS STORE #02929,89129,FL0007,100.0,0.01,1
CVS STORE #02929,89129,FL8094,700.0,0.17,13
CVS STORE #02929,89129,FP4554,300.0,0.13,19
CVS STORE #02930,89121,30130BA,1170.0,0.17,42
CVS STORE #02930,89121,30135BA,1170.0,0.28,44
CVS STORE #02930,89121,33036BD,1170.0,0.16,46
CVS STORE #02930,89121,33130BA,1170.0,0.32,32
CVS STORE #02930,89121,EW0176,1170.0,0.58,39
CVS STORE #02930,89121,EW0178,1170.0,0.55,41
CVS STORE #02930,89121,EW0181,1170.0,0.57,39
CVS STORE #02930,89121,EW0198,1170.0,0.6,49
CVS STORE #02930,89121,FA7485,1350.0,0.57,45
CVS STORE #02930,89121,FC3181,900.0,0.37,29
CVS STORE #02930,89121,FC3182,450.0,0.16,14
CVS STORE #02930,89121,FC3184,900.0,0.47,28
CVS STORE #02930,89121,FD8448,900.0,0.35,32
CVS STORE #02930,89121,FF2589,1170.0,0.52,38
CVS STORE #02930,89121,FG3527,2340.0,0.83,71
CVS STORE #02930,89121,FH8020,1170.0,0.71,41
CVS STORE #02930,89121,FJ6369,300.0,0.1,8
CVS STORE #02930,89121,FK5127,300.0,0.09,3
CVS STORE #02930,89121,FK5618,900.0,0.23,10
CVS STORE #02930,89121,FK9895,300.0,0.09,7
CVS STORE #02930,89121,FK9896,300.0,0.07,7
CVS STORE #02930,89121,FL8094,300.0,0.07,6
CVS STORE #02930,89121,FL8095,400.0,0.1,7
CVS STORE #02930,89121,FM9992,900.0,0.29,31
CVS STORE #02990,89108,30130BA,1170.0,0.17,42
CVS STORE #02990,89108,30155BA,1170.0,0.38,37
CVS STORE #02990,89108,33130BA,1170.0,0.32,32
CVS STORE #02990,89108,EP6955,1170.0,0.88,34
CVS STORE #02990,89108,EP7534,1170.0,0.84,40
CVS STORE #02990,89108,ER8731,1170.0,0.63,37
CVS STORE #02990,89108,ER8735,1170.0,0.78,41
CVS STORE #02990,89108,ER8736,1170.0,0.62,37
CVS STORE #02990,89108,EW0151,1170.0,1.04,45
CVS STORE #02990,89108,EW0171,1170.0,0.58,33
CVS STORE #02990,89108,EW0180,2340.0,1.11,76
CVS STORE #02990,89108,EW0198,1170.0,0.6,49
CVS STORE #02990,89108,FA7484,450.0,0.22,21
CVS STORE #02990,89108,FA7485,450.0,0.19,15
CVS STORE #02990,89108,FC3180,450.0,0.19,15
CVS STORE #02990,89108,FC3181,450.0,0.19,14
CVS STORE #02990,89108,FC3182,450.0,0.16,14
CVS STORE #02990,89108,FC3184,450.0,0.24,14
CVS STORE #02990,89108,FF2587,1170.0,0.56,40
CVS STORE #02990,89108,FF2593,1170.0,0.43,35
CVS STORE #02990,89108,FH8020,1170.0,0.71,41
